O*NET-SOC Code,Title,Working_with_Computers,Processing_Information,Analyzing_Data,Physical_Activities,Handling_Objects,Operating_Vehicles,Controlling_Machines,Repairing_Equipment
13-2011.00,Accountants and Auditors,4.45,4.19,4.13,1.56,1.61,1.33,1.56,1.16
15-2011.00,Actuaries,4.68,4.71,4.79,1.18,1.21,1.07,1.46,1.04
29-1141.02,Advanced Practice Psychiatric Nurses,4.09,4.57,4.23,1.87,1.5,1.3,1.61,1.22
11-2011.00,Advertising and Promotions Managers,4.61,3.51,3.26,1.9,2.08,1.82,1.85,1.21
17-3011.00,Architectural and Civil Drafters,4.77,3.63,3.48,1.72,1.44,1.59,1.46,1.16
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",4.04,3.39,3.62,1.52,1.35,1.11,1.45,1.01
19-2021.00,Atmospheric and Space Scientists,4.84,4.45,4.37,1.65,1.58,1.63,1.63,1.35
43-3021.00,Billing and Posting Clerks,4.67,4.28,3.24,1.6,2.11,1.49,1.63,1.24
19-1029.01,Bioinformatics Scientists,4.93,4.53,4.77,1.48,1.65,1.07,1.85,1.45
15-2099.01,Bioinformatics Technicians,4.91,4.76,4.76,1.5,1.6,1.16,1.62,1.33
15-2041.01,Biostatisticians,4.65,4.17,4.67,1.59,1.39,1.26,1.57,1.26
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",4.46,3.72,3.13,1.65,1.79,1.27,1.89,1.13
43-4011.00,Brokerage Clerks,4.19,4.09,3.3,1.55,1.41,1.05,1.3,1.02
13-2031.00,Budget Analysts,4.69,4.24,4.46,1.43,1.52,1.12,1.42,1.09
13-1199.04,Business Continuity Planners,4.23,3.95,3.95,1.73,1.36,1.36,1.45,1.14
15-2051.01,Business Intelligence Analysts,4.67,4.25,4.67,1.19,1.33,1.29,1.29,1.1
25-1011.00,"Business Teachers, Postsecondary",4.13,3.49,3.68,1.92,1.76,1.44,1.74,1.09
11-1011.03,Chief Sustainability Officers,4.15,3.96,4.22,1.81,1.44,1.7,1.56,1.41
17-2051.00,Civil Engineers,4.1,4.05,3.9,2.0,1.57,1.57,1.48,1.29
19-2041.01,Climate Change Policy Analysts,4.22,4.04,4.39,1.35,1.35,1.26,1.36,1.22
15-2051.02,Clinical Data Managers,4.7,4.53,4.0,1.4,1.3,1.35,1.35,1.25
25-1122.00,"Communications Teachers, Postsecondary",4.42,3.53,3.35,1.75,1.72,1.35,1.88,1.12
11-3111.00,Compensation and Benefits Managers,4.33,3.86,3.95,1.48,1.48,1.05,1.48,1.0
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",4.52,4.29,4.57,1.38,1.46,1.21,1.71,1.17
15-1251.00,Computer Programmers,4.95,4.59,4.52,1.65,1.52,1.3,1.69,1.5
25-1021.00,"Computer Science Teachers, Postsecondary",4.65,4.19,4.25,1.61,1.67,1.32,1.93,1.54
43-4021.00,Correspondence Clerks,4.52,3.92,3.27,1.93,1.98,1.46,2.0,1.24
13-1051.00,Cost Estimators,4.57,4.09,4.57,1.55,1.5,1.14,1.1,1.18
13-2041.00,Credit Analysts,4.45,4.4,4.65,1.25,1.25,1.05,1.45,1.0
43-4041.00,"Credit Authorizers, Checkers, and Clerks",4.42,4.1,3.66,1.83,1.2,1.17,1.23,1.05
13-2071.00,Credit Counselors,4.39,3.92,3.68,1.42,1.5,1.21,1.46,1.09
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",4.53,3.32,3.72,1.62,1.44,1.05,1.68,1.37
13-1041.08,Customs Brokers,4.47,4.32,3.84,1.44,1.84,1.53,1.89,1.26
15-1243.01,Data Warehousing Specialists,4.96,4.48,4.55,1.09,1.09,1.09,1.48,1.0
15-1242.00,Database Administrators,4.83,3.92,4.0,1.43,1.39,1.51,1.88,1.53
15-1243.00,Database Architects,4.76,4.38,4.62,1.2,1.19,1.0,1.52,1.05
25-1063.00,"Economics Teachers, Postsecondary",4.25,3.95,4.17,1.45,1.61,1.42,1.69,1.48
19-3011.00,Economists,4.65,4.61,4.78,1.13,1.17,1.04,1.22,1.04
27-3041.00,Editors,4.57,3.89,3.56,1.66,1.8,1.62,1.88,1.28
11-9033.00,"Education Administrators, Postsecondary",4.04,3.89,4.05,1.76,1.28,1.23,1.24,1.17
25-1081.00,"Education Teachers, Postsecondary",4.09,3.73,3.68,1.39,1.23,1.46,1.09,1.19
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",4.23,3.27,3.5,1.83,1.42,1.44,1.49,1.21
43-4061.00,"Eligibility Interviewers, Government Programs",4.7,4.47,3.75,1.57,1.22,1.52,1.07,1.17
25-1123.00,"English Language and Literature Teachers, Postsecondary",4.11,3.42,3.93,1.76,1.48,1.04,1.7,1.29
19-3011.01,Environmental Economists,4.63,4.44,4.85,1.19,1.11,1.04,1.23,1.0
19-1041.00,Epidemiologists,4.58,4.58,4.95,1.33,1.32,1.32,1.37,1.11
13-1041.03,Equal Opportunity Representatives and Officers,4.0,3.99,4.35,1.5,1.47,1.23,1.63,1.03
29-1215.00,Family Medicine Physicians,4.55,3.07,4.25,1.96,1.95,1.01,1.2,1.0
13-2061.00,Financial Examiners,4.09,3.96,4.52,1.17,1.22,1.61,1.39,1.0
11-3031.00,Financial Managers,4.34,4.27,3.95,1.88,1.52,1.74,1.78,1.13
13-2099.01,Financial Quantitative Analysts,4.68,4.5,4.6,1.2,1.1,1.05,1.45,1.05
29-9092.00,Genetic Counselors,4.26,3.91,3.83,1.26,1.35,1.09,1.17,1.0
15-1299.02,Geographic Information Systems Technologists and Technicians,4.93,4.5,4.61,1.54,1.71,1.77,1.97,1.31
11-3121.00,Human Resources Managers,4.08,3.74,4.08,1.58,1.79,1.42,1.58,1.12
19-2041.03,Industrial Ecologists,4.55,4.39,4.65,1.52,1.39,1.39,1.61,1.35
19-3032.00,Industrial-Organizational Psychologists,4.56,4.48,4.6,1.4,1.2,1.0,1.24,1.0
15-1212.00,Information Security Analysts,4.7,4.09,4.08,1.62,1.68,1.34,1.91,1.36
15-1299.09,Information Technology Project Managers,4.52,4.14,4.16,2.0,1.76,1.6,1.9,1.43
43-9041.00,Insurance Claims and Policy Processing Clerks,4.42,4.11,3.01,1.54,1.66,1.15,1.61,1.02
13-2053.00,Insurance Underwriters,4.41,4.13,4.43,1.43,1.53,1.37,1.3,1.0
33-3021.06,Intelligence Analysts,4.87,4.77,4.82,1.43,1.61,1.7,1.78,1.26
11-3031.03,Investment Fund Managers,4.43,4.45,4.75,1.2,1.16,1.14,1.25,1.0
23-1011.00,Lawyers,4.23,4.22,4.1,1.41,1.42,1.34,1.77,1.29
43-6012.00,Legal Secretaries and Administrative Assistants,4.16,3.52,3.07,1.82,1.67,1.25,1.65,1.14
25-1082.00,"Library Science Teachers, Postsecondary",4.8,4.37,4.49,1.42,1.35,1.38,1.77,1.38
13-2072.00,Loan Officers,4.24,4.28,4.26,1.6,1.51,1.33,1.69,1.21
13-1081.00,Logisticians,4.29,4.0,3.91,1.79,1.88,1.92,1.88,1.71
13-1081.02,Logistics Analysts,4.55,4.27,4.45,1.95,1.91,1.77,2.0,1.59
13-1081.01,Logistics Engineers,4.75,4.4,4.53,1.75,1.7,1.55,1.9,1.75
13-1111.00,Management Analysts,4.29,4.15,4.4,1.71,1.71,1.67,1.57,1.24
13-1161.00,Market Research Analysts and Marketing Specialists,4.61,4.64,4.78,1.32,1.26,1.22,1.52,1.09
11-2021.00,Marketing Managers,4.4,3.36,3.75,1.71,1.37,1.78,1.2,1.14
25-1022.00,"Mathematical Science Teachers, Postsecondary",4.02,3.3,3.56,1.54,1.72,1.45,1.88,1.09
15-2021.00,Mathematicians,4.46,4.62,4.82,1.13,1.33,1.08,1.38,1.12
13-1199.06,Online Merchants,4.66,3.98,3.4,1.65,2.25,1.37,1.94,1.14
15-2031.00,Operations Research Analysts,4.9,4.55,4.85,1.1,1.05,1.0,1.1,1.05
23-2011.00,Paralegals and Legal Assistants,4.87,4.03,3.77,1.93,2.21,1.19,1.61,1.1
43-3051.00,Payroll and Timekeeping Clerks,4.37,4.32,3.45,1.69,1.78,1.43,1.86,1.33
13-2052.00,Personal Financial Advisors,4.17,4.17,4.26,1.09,1.09,1.26,1.13,1.09
17-2171.00,Petroleum Engineers,4.43,4.2,4.58,1.54,1.36,1.36,1.56,1.41
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",4.06,3.55,3.46,1.52,1.61,1.24,1.62,1.01
25-1065.00,"Political Science Teachers, Postsecondary",4.14,4.09,4.63,1.24,1.1,1.01,1.23,1.01
19-3094.00,Political Scientists,4.2,4.6,4.8,1.15,1.27,1.15,1.46,1.15
43-9081.00,Proofreaders and Copy Markers,4.1,4.09,3.11,1.19,1.65,1.0,1.16,1.0
25-1066.00,"Psychology Teachers, Postsecondary",4.35,3.99,3.93,1.59,1.58,1.22,1.76,1.13
27-3031.00,Public Relations Specialists,4.24,3.36,3.45,1.59,1.59,1.41,1.36,1.05
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4.32,3.87,4.26,1.61,1.7,1.65,1.7,1.32
11-3061.00,Purchasing Managers,4.37,4.05,4.05,1.89,1.74,1.63,1.72,1.28
11-9199.01,Regulatory Affairs Managers,4.15,4.22,4.27,1.59,1.63,1.26,1.46,1.15
13-1041.07,Regulatory Affairs Specialists,4.25,3.47,4.05,1.4,1.25,1.11,1.35,1.15
41-9031.00,Sales Engineers,4.19,3.39,3.55,1.54,1.42,1.82,1.7,1.58
13-1161.01,Search Marketing Strategists,4.83,4.48,4.65,1.14,1.17,1.13,1.57,1.09
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",4.42,4.08,3.9,1.62,1.26,1.51,1.53,1.19
19-4061.00,Social Science Research Assistants,4.73,4.67,4.5,1.19,1.45,1.18,1.51,1.0
25-1113.00,"Social Work Teachers, Postsecondary",4.58,3.67,3.99,1.91,1.56,1.29,1.83,1.14
19-3041.00,Sociologists,4.37,4.63,4.79,1.5,1.25,1.2,1.45,1.0
25-1067.00,"Sociology Teachers, Postsecondary",4.47,4.78,4.66,1.57,1.3,1.12,1.47,1.0
15-1253.00,Software Quality Assurance Analysts and Testers,4.94,4.38,4.26,1.42,1.24,1.15,1.65,1.21
43-9111.00,Statistical Assistants,4.78,4.37,4.43,1.65,1.46,1.15,1.56,1.16
15-2041.00,Statisticians,4.75,4.4,4.7,1.06,1.0,1.0,1.16,1.05
19-3022.00,Survey Researchers,4.79,4.61,4.77,1.29,1.29,1.04,1.67,1.08
13-1199.05,Sustainability Specialists,4.2,4.04,4.26,1.77,1.65,1.61,1.61,1.35
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",4.77,4.32,3.72,1.84,1.86,1.45,1.75,1.16
25-9044.00,"Teaching Assistants, Postsecondary",4.22,3.47,3.26,1.73,1.87,1.63,1.79,1.23
27-3042.00,Technical Writers,4.61,3.99,4.0,1.65,1.44,1.49,1.89,1.78
13-1151.00,Training and Development Specialists,4.04,3.78,3.7,2.0,1.83,1.57,1.68,1.43
19-3099.01,Transportation Planners,4.45,4.35,4.6,1.55,1.5,1.65,1.3,1.21
41-3041.00,Travel Agents,4.6,3.89,3.5,1.34,1.59,1.48,1.44,1.87
11-3031.01,Treasurers and Controllers,4.44,4.28,4.62,1.38,1.32,1.17,1.36,1.0
19-3051.00,Urban and Regional Planners,4.08,4.21,4.32,1.44,1.28,1.6,1.12,1.04
15-1255.01,Video Game Designers,4.85,3.95,3.75,1.3,1.25,1.0,1.68,1.0
11-9121.02,Water Resource Specialists,4.27,4.05,4.55,2.0,1.59,1.9,1.73,1.59
15-1299.01,Web Administrators,4.9,3.95,3.9,1.45,1.7,1.3,1.95,1.53
15-1254.00,Web Developers,4.88,4.13,3.54,1.42,1.25,1.21,2.0,1.08
